timestamp,gazeDirectionLeft.x,gazeDirectionLeft.y,gazeDirectionLeft.z,gazeDirectionRight.x,gazeDirectionRight.y,gazeDirectionRight.z,eOpenL,eOpenR
22-06-30 12:56:03.902,-0.0192566,-0.10843,-0.9939048,-0.0192566,-0.10843,-0.9939048,1,1
22-06-30 12:56:03.914,-0.01094055,-0.04856666,-0.9987593,-0.01094055,-0.04856666,-0.9987593,1,1
22-06-30 12:56:03.926,0.008224489,-0.04396141,-0.9989936,0.008224489,-0.04396141,-0.9989936,1,1
22-06-30 12:56:03.936,-0.01727295,-0.05058703,-0.9985671,-0.01727295,-0.05058703,-0.9985671,1,1
22-06-30 12:56:03.946,0.01031494,-0.04542468,-0.9989116,0.01031494,-0.04542468,-0.9989116,1,1
22-06-30 12:56:03.957,0.003692628,-0.0356603,-0.9993523,0.003692628,-0.0356603,-0.9993523,1,1
22-06-30 12:56:03.968,-0.005615235,-0.05861718,-0.9982629,-0.005615235,-0.05861718,-0.9982629,1,1
22-06-30 12:56:03.980,0.001220703,-0.2105293,-0.9775741,0.001220703,-0.2105293,-0.9775741,1,1
22-06-30 12:56:03.990,-0.01069641,-0.2651238,-0.9641436,-0.01069641,-0.2651238,-0.9641436,1,1
22-06-30 12:56:04.003,0.01211548,-0.2264327,-0.9739465,0.01211548,-0.2264327,-0.9739465,1,1
22-06-30 12:56:04.014,-0.0005645753,-0.2712451,-0.9625052,-0.0005645753,-0.2712451,-0.9625052,1,1
22-06-30 12:56:04.025,0.03634644,-0.2502823,-0.9674792,0.03634644,-0.2502823,-0.9674792,1,1
22-06-30 12:56:04.040,0.01124573,-0.06951819,-0.9975083,0.01124573,-0.06951819,-0.9975083,1,1
22-06-30 12:56:04.050,0.0323639,-0.07342061,-0.9967686,0.0323639,-0.07342061,-0.9967686,1,1
22-06-30 12:56:04.061,0.08169557,-0.4364575,-0.8960036,0.08169557,-0.4364575,-0.8960036,1,1
22-06-30 12:56:04.085,0.03657532,-0.4337822,-0.9002661,0.03657532,-0.4337822,-0.9002661,1,1
22-06-30 12:56:04.094,-0.0295868,-0.06947108,-0.9971448,-0.0295868,-0.06947108,-0.9971448,1,1
22-06-30 12:56:04.103,-0.0355835,-0.2458798,-0.9686303,-0.0355835,-0.2458798,-0.9686303,1,1
22-06-30 12:56:04.114,-0.003799439,-0.2384708,-0.9711318,-0.003799439,-0.2384708,-0.9711318,1,1
22-06-30 12:56:04.126,-0.02215577,-0.2459296,-0.9690241,-0.02215577,-0.2459296,-0.9690241,1,1
22-06-30 12:56:04.136,-0.003631593,-0.2385012,-0.9711292,-0.003631593,-0.2385012,-0.9711292,1,1
22-06-30 12:56:04.148,0.01092529,-0.2294356,-0.9732549,0.01092529,-0.2294356,-0.9732549,1,1
22-06-30 12:56:04.160,-0.0396576,-0.1850236,-0.9819194,-0.0396576,-0.1850236,-0.9819194,1,1
22-06-30 12:56:04.170,-0.05953981,-0.03025172,-0.9977578,-0.05953981,-0.03025172,-0.9977578,1,1
22-06-30 12:56:04.193,-0.06103517,-0.03456683,-0.9975334,-0.06103517,-0.03456683,-0.9975334,1,1
22-06-30 12:56:04.203,-0.06188966,-0.03048429,-0.9976149,-0.06188966,-0.03048429,-0.9976149,1,1
22-06-30 12:56:04.213,-0.05337526,-0.03277199,-0.9980273,-0.05337526,-0.03277199,-0.9980273,1,1
22-06-30 12:56:04.397,-0.01159668,-0.02331029,-0.9996517,-0.01159668,-0.02331029,-0.9996517,0,0
22-06-30 12:56:04.409,-0.005233766,-0.02465992,-0.9996713,-0.005233766,-0.02465992,-0.9996713,0,0
22-06-30 12:56:04.418,-0.007141115,-0.02823552,-0.999573,-0.007141115,-0.02823552,-0.999573,0,0
22-06-30 12:56:04.427,-0.008377077,-0.03910764,-0.9991885,-0.008377077,-0.03910764,-0.9991885,0,0
22-06-30 12:56:04.437,-0.01734925,-0.04149415,-0.9989797,-0.01734925,-0.04149415,-0.9989797,0,0
22-06-30 12:56:04.447,-0.009963991,-0.03495442,-0.9993374,-0.009963991,-0.03495442,-0.9993374,0,0
22-06-30 12:56:04.456,-0.01011658,-0.03655714,-0.9992739,-0.01011658,-0.03655714,-0.9992739,0,0
22-06-30 12:56:04.468,-0.01031494,-0.03516723,-0.9993188,-0.01031494,-0.03516723,-0.9993188,0,0
22-06-30 12:56:04.479,-0.01118469,-0.03330342,-0.9993747,-0.01118469,-0.03330342,-0.9993747,0,0
22-06-30 12:56:04.488,-0.007278444,-0.03335302,-0.9994164,-0.007278444,-0.03335302,-0.9994164,1,1
22-06-30 12:56:04.500,-0.01113892,-0.0325394,-0.9993956,-0.01113892,-0.0325394,-0.9993956,1,1
22-06-30 12:56:04.512,-0.003707887,-0.03767478,-0.9992679,-0.003707887,-0.03767478,-0.9992679,1,1
22-06-30 12:56:04.522,-0.01069641,-0.03215806,-0.9994137,-0.01069641,-0.03215806,-0.9994137,1,1
22-06-30 12:56:04.542,-0.01275635,-0.04058477,-0.9990901,-0.01275635,-0.04058477,-0.9990901,1,1
22-06-30 12:56:04.552,-0.01406861,-0.03829268,-0.9991527,-0.01406861,-0.03829268,-0.9991527,1,1
22-06-30 12:56:04.562,-0.01547242,-0.03429148,-0.9992883,-0.01547242,-0.03429148,-0.9992883,1,1
22-06-30 12:56:04.572,-0.009002687,-0.0361454,-0.9992945,-0.009002687,-0.0361454,-0.9992945,1,1
22-06-30 12:56:04.582,-0.007629396,-0.03425385,-0.9993834,-0.007629396,-0.03425385,-0.9993834,1,1
22-06-30 12:56:04.598,-0.006484987,-0.03235966,-0.999442,-0.006484987,-0.03235966,-0.999442,1,1
22-06-30 12:56:04.608,-0.00595093,-0.03084814,-0.9994977,-0.00595093,-0.03084814,-0.9994977,1,1
22-06-30 12:56:04.618,-0.009368898,-0.02762216,-0.9995654,-0.009368898,-0.02762216,-0.9995654,1,1
22-06-30 12:56:04.628,-0.009063723,-0.0295633,-0.9995182,-0.009063723,-0.0295633,-0.9995182,1,1
22-06-30 12:56:04.639,-0.009643557,-0.03087588,-0.9994646,-0.009643557,-0.03087588,-0.9994646,1,1
22-06-30 12:56:04.650,-0.008895876,-0.02974703,-0.9995173,-0.008895876,-0.02974703,-0.9995173,1,1
22-06-30 12:56:04.660,-0.005584718,-0.02899954,-0.9995521,-0.005584718,-0.02899954,-0.9995521,1,1
22-06-30 12:56:04.669,-0.008651735,-0.0295785,-0.9995168,-0.008651735,-0.0295785,-0.9995168,1,1
22-06-30 12:56:04.679,-0.008193972,-0.02866247,-0.9995509,-0.008193972,-0.02866247,-0.9995509,1,1
22-06-30 12:56:04.699,-0.006042482,-0.0372465,-0.9992748,-0.006042482,-0.0372465,-0.9992748,1,1
22-06-30 12:56:04.709,-0.03367615,-0.01390771,-0.9993255,-0.03367615,-0.01390771,-0.9993255,1,1
22-06-30 12:56:04.719,-0.04330445,-0.02485507,-0.9987507,-0.04330445,-0.02485507,-0.9987507,1,1
22-06-30 12:56:04.728,-0.03428651,-0.01540536,-0.9992863,-0.03428651,-0.01540536,-0.9992863,1,1
22-06-30 12:56:04.737,-0.03916932,-0.01740919,-0.9990804,-0.03916932,-0.01740919,-0.9990804,1,1
22-06-30 12:56:04.746,-0.0431366,-0.01950423,-0.9988664,-0.0431366,-0.01950423,-0.9988664,1,1
22-06-30 12:56:04.756,-0.0355835,-0.02018845,-0.9991589,-0.0355835,-0.02018845,-0.9991589,1,1
22-06-30 12:56:04.766,-0.02954102,-0.007890694,-0.9995302,-0.02954102,-0.007890694,-0.9995302,1,1
22-06-30 12:56:04.778,0.05160524,-0.007918634,-0.9986241,0.05160524,-0.007918634,-0.9986241,1,1
22-06-30 12:56:04.788,0.06520082,-0.01178267,-0.9977959,0.06520082,-0.01178267,-0.9977959,1,1
22-06-30 12:56:04.799,0.06730653,-0.0397991,-0.9969378,0.06730653,-0.0397991,-0.9969378,0.8898869,0.993877
22-06-30 12:56:04.811,0.07414247,-0.03905332,-0.9964669,0.07414247,-0.03905332,-0.9964669,0.8967863,0.9907417
22-06-30 12:56:04.821,0.07170106,-0.03633638,-0.9967506,0.07170106,-0.03633638,-0.9967506,0.8967863,0.9907417
22-06-30 12:56:04.833,0.07806398,-0.03650929,-0.9962759,0.07806398,-0.03650929,-0.9962759,0.902489,0.9859491
